,sku,model,rmse,mape,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,01/01/2023,02/01/2023,03/01/2023,04/01/2023,best_model,best_forecast
0,LevelA_Product1,lr,3805506.6855524867,1.82314,43568064.0,43986760.0,42918188.0,41118820.0,39108428.0,37142408.0,36294072.0,12766024.0,10654360.0,41299421.0,30689175.0,,
1,LevelA_Product1,lasso,3805506.6855524895,1.82314,43568064.0,43986760.0,42918188.0,41118820.0,39108428.0,37142408.0,36294072.0,12766024.0,10654360.0,41299421.0,30689175.0,,
2,LevelA_Product1,ridge,3805506.685553646,1.82314,43568064.0,43986760.0,42918188.0,41118820.0,39108428.0,37142408.0,36294072.0,12766024.0,10654360.0,41299421.0,30689175.0,,
3,LevelA_Product1,en,3805506.6855554394,1.82314,43568064.0,43986760.0,42918188.0,41118820.0,39108428.0,37142408.0,36294072.0,12766024.0,10654360.0,41299421.0,30689175.0,,
4,LevelA_Product1,llars,3799616.0596089573,1.80842,43568064.0,43986760.0,42918188.0,41118820.0,39108428.0,37142408.0,36294072.0,12765961.0,10654315.0,41299140.0,30688976.0,Best ML,
5,LevelA_Product1,pa,7048426.700456982,2.13082,43568064.0,43986760.0,42918188.0,41118820.0,39108428.0,37142408.0,36294072.0,5198353.0,4293174.0,15779925.0,11317270.0,,
6,LevelA_Product1,knn,8409373.735453516,2.7313599999999996,3220802.0,3220802.0,3220802.0,3220802.0,3220802.0,3220802.0,3220802.0,3220802.0,3220802.0,3220802.0,3220802.0,,
7,LevelA_Product1,cart,6361819.746818536,2.30594,3749463.0,3749463.0,3749463.0,3749463.0,3749463.0,3749463.0,3749463.0,3749463.0,3749463.0,3749463.0,3749463.0,,
8,LevelA_Product1,extra,6361819.746818536,2.30594,2137720.0,2137720.0,2137720.0,2137720.0,2137720.0,2137720.0,2137720.0,2137720.0,2137720.0,2137720.0,2137720.0,,
9,LevelA_Product1,svmr,27954588.46597721,5.8006400000000005,2802722.0,2802722.0,2802722.0,2802718.0,2802718.0,2802718.0,2802718.0,2802718.0,2802718.0,2802718.0,2802718.0,,
