,sku,model,rmse,mape,05/27/2023,05/28/2023,05/29/2023,05/30/2023,05/31/2023,06/01/2023,06/02/2023,06/03/2023,06/04/2023,06/05/2023,06/06/2023,06/07/2023,06/08/2023,best_model,best_forecast
0,Close,lr,6.045833970542316,1.15,108.0,6.0,6.0,6.0,4.0,14.0,6.0,3.0,3.0,104.0,9.0,105.0,105.0,,
1,Close,lasso,6.201855609062072,1.15,108.0,106.0,105.0,106.0,105.0,107.0,108.0,108.0,104.0,104.0,106.0,105.0,105.0,,
2,Close,ridge,6.135474416375853,1.1333199999999999,108.0,106.0,105.0,106.0,105.0,107.0,108.0,108.0,104.0,104.0,106.0,105.0,105.0,,
3,Close,en,5.943437613856162,1.15,108.0,106.0,105.0,106.0,105.0,20.0,108.0,25.0,104.0,14.0,1.0,4.0,2.0,,
4,Close,llars,10.719521646494465,1.5833000000000002,108.0,106.0,105.0,106.0,105.0,107.0,108.0,108.0,104.0,104.0,106.0,105.0,105.0,,
5,Close,pa,6.152449043720698,1.05,67.0,102.0,105.0,36.0,105.0,109.0,248.0,28.0,87.0,104.0,174.0,216.0,83.0,Best ML,
6,Close,knn,6.972381112637538,1.25,108.0,106.0,1.0,8.0,3.0,16.0,108.0,108.0,2.0,1.0,106.0,105.0,105.0,,
7,Close,cart,6.795370016163308,1.1499799999999998,107.0,108.0,106.0,105.0,106.0,105.0,107.0,108.0,108.0,104.0,104.0,106.0,105.0,,
8,Close,extra,7.729857190938309,1.3,107.0,4.0,106.0,4.0,106.0,4.0,107.0,4.0,108.0,4.0,104.0,4.0,105.0,,
9,Close,svmr,6.989413595480673,1.20002,107.0,108.0,106.0,105.0,106.0,20.0,5.0,25.0,1.0,13.0,104.0,3.0,105.0,,
10,Close,ada,6.250410859377209,1.15,1.0,1.0,1.0,1.0,106.0,1.0,1.0,108.0,1.0,1.0,1.0,1.0,1.0,,
11,Close,bag,7.1467576943148385,1.23334,107.0,1.0,2.0,105.0,106.0,105.0,107.0,108.0,1.0,104.0,104.0,1.0,1.0,,
12,Close,rf,7.0791961807912145,1.21668,107.0,1.0,2.0,105.0,106.0,105.0,107.0,108.0,1.0,104.0,104.0,1.0,105.0,,
13,Close,gbm,6.42319197660743,1.18336,107.0,2.0,106.0,105.0,1.0,13.0,107.0,108.0,108.0,104.0,104.0,106.0,105.0,,
14,Close,AR,4.009825070174386,0.43332,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
15,Close,MA,4.009825070174386,0.43332,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
16,Close,ARMA,4.009825070174386,0.43332,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
17,Close,ARIMA,4.009825070174386,0.43332,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
18,Close,spl_ARIMA,4.009825070174386,0.43332,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
19,Close,Best Forecast,1.7868147536854675,0.23334000000000002,128.0,128.0,130.0,132.0,132.0,132.0,131.0,131.0,130.0,130.0,129.0,134.0,136.0,,
20,Close,SES,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
21,Close,HWES,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,1
22,Close,naive,13.135019018782387,1.16668,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
23,Close,naive_rept,2.965695873757067,0.31664000000000003,107.0,108.0,106.0,105.0,106.0,105.0,107.0,108.0,108.0,104.0,104.0,106.0,105.0,,
24,Close,naive3,4.6756468616612485,0.53332,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
25,Close,naive6,11.438579941517835,1.0333400000000001,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
26,Close,naive12,11.937256192933587,1.1333199999999999,116.0,117.0,116.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,112.0,116.0,,
27,Close,naive12wa,12.133629999679863,1.1666599999999998,110.0,111.0,112.0,114.0,114.0,113.0,113.0,113.0,113.0,114.0,114.0,110.0,113.0,,
28,Close,sma,4.009825070174386,0.43332,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
29,Close,wma,3.8626551357797054,0.41666,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
30,Close,Croston,2.6477942078170034,0.0833,107.0,108.0,106.0,105.0,106.0,105.0,107.0,108.0,108.0,104.0,104.0,106.0,105.0,,
31,Close,Best Ensemble,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,Best TS,
32,Close,Baseline Forecast,3.204857424459184,0.19555999999999998,121.66666666666669,125.66666666666669,126.66666666666669,125.66666666666669,129.66666666666669,130.66666666666669,132.66666666666669,132.66666666666669,134.66666666666669,132.66666666666669,130.66666666666669,133.66666666666669,134.66666666666669,,
